Attribute,f-value,p-value
PRRest,5.397842873035097,0.020974276587710845
PRExercise,3.980195220378552,0.047136967409286044
PR10,6.836811690851974,0.009478886385078714
PR20,7.904348267333956,0.005327373719624458
PR30,6.377446870167837,0.01218465824008654
PR40,4.177787440892803,0.04201790162925729
PR50,4.532706641287,0.03424260838564019
PR60,4.346209525928243,0.03811877501628721
PR70,4.364018510487958,0.037729410482167956
PR80,2.9642558779394332,0.08637559209120534
PR90,3.8411167925103302,0.05113462974859876
PR100,2.4121317761146766,0.12167865249087896
PR110,3.5310437516658086,0.061407355466179696
PR120,4.186851772392085,0.0417976717686629
SaoRest,2.7929156332206824,0.09594826426924674
SaoExercise,18.874540004078302,2.0399922090054294e-05
Sao10,22.349942933060152,3.8203227801169885e-06
Sao20,23.464097248861012,2.2479860542356585e-06
Sao30,20.72687976540516,8.319331255785183e-06
Sao40,18.03901253229733,3.067214516217072e-05
Sao50,12.58157733098092,0.0004660295860703889
Sao60,10.31208181710787,0.0014970277839088742
Sao70,8.627864404957853,0.0036234492839979362
Sao80,7.690474026250463,0.005974745947130337
Sao90,8.014403344724046,0.005022774271693366
Sao100,5.899719125033639,0.015857604192820784
Sao110,5.8947107868370665,0.015901680097959586
Sao120,7.579160825382975,0.006343133799326435
