C,Gamma,Mean Threshold,Std. Threshold,Optimal Thresholds,Accuracy,Sensitivity,Specificity
0.5,0.1,0.133,0.052,"[0.1, 0.1, 0.1, 0.1, 0.2, 0.2]",0.5139,0.45,0.58
0.5,0.01,-0.3,0,"[-0.3, -0.3, -0.3, -0.3, -0.3, -0.3]",0.7750,0.74,0.81
0.5,0.001,-0.033,0.137,"[-0.1, 0, 0.2, -0.2, 0, -0.1]",0.8135,0.82,0.81
0.5,0.0001,0.117,0.133,"[0.1, 0.1, 0.3, -0.1, 0.1, 0.2]",0.8090,0.81,0.81
0.5,1E-05,0.2,0,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",0.7965,0.79,0.80
1,0.1,0,0,"[0, 0, 0, 0, 0, 0]",0.5384,0.79,0.29
1,0.01,-0.133,0.052,"[-0.1, -0.1, -0.1, -0.2, -0.2, -0.1]",0.7805,0.76,0.80
1,0.001,0.033,0.121,"[0, 0.1, 0.2, -0.1, 0.1, -0.1]",0.8155,0.81,0.82
1,0.0001,0.1,0.126,"[0.1, 0.1, 0.3, -0.1, 0.1, 0.1]",0.8155,0.82,0.81
1,1E-05,0.167,0.052,"[0.2, 0.2, 0.2, 0.1, 0.1, 0.2]",0.8044,0.80,0.80
5,0.1,0,0,"[0, 0, 0, 0, 0, 0]",0.5449,0.83,0.26
5,0.01,-0.1,0,"[-0.1, -0.1, -0.1, -0.1, -0.1, -0.1]",0.7771,0.76,0.79
5,0.001,0.067,0.082,"[0.1, 0.1, 0.2, 0, 0, 0]",0.8195,0.82,0.82
5,0.0001,0.133,0.137,"[0.1, 0.2, 0.3, -0.1, 0.2, 0.1]",0.8229,0.83,0.82
5,1E-05,0.117,0.098,"[0.1, 0.1, 0.3, 0, 0.1, 0.1]",0.8119,0.81,0.81
10,0.1,0,0,"[0, 0, 0, 0, 0, 0]",0.5449,0.83,0.26
10,0.01,-0.100,0,"[-0.1, -0.1, -0.1, -0.1, -0.1, -0.1]",0.7766,0.76,0.79
10,0.001,0.067,0.103,"[0.1, -0.1, 0.2, 0.1, 0.1, 0]",0.8130,0.82,0.81
10,0.0001,0.117,0.133,"[0.1, 0.1, 0.3, -0.1, 0.2, 0.1]",0.8200,0.82,0.82
10,1E-05,0.117,0.075,"[0.2, 0.1, 0.2, 0, 0.1, 0.1]",0.8139,0.82,0.81
15,0.1,0,0,"[0, 0, 0, 0, 0, 0]",0.5449,0.83,0.26
15,0.01,-0.1,0,"[-0.1, -0.1, -0.1, -0.1, -0.1, -0.1]",0.7766,0.76,0.79
15,0.001,0.067,0.137,"[0.2, -0.1, 0.2, 0.1, 0.1, -0.1]",0.8040,0.81,0.80
15,0.0001,0.083,0.075,"[0.1, 0.1, 0.2, 0, 0.1, 0]",0.8215,0.82,0.82
15,1E-05,0.133,0.103,"[0.2, 0.1, 0.3, 0, 0.1, 0.1]",0.8139,0.82,0.81
20,0.1,0,0,"[0, 0, 0, 0, 0, 0]",0.5449,0.83,0.26
20,0.01,-0.1,0,"[-0.1, -0.1, -0.1, -0.1, -0.1, -0.1]",0.7766,0.76,0.79
20,0.001,0.1,0.126,"[0.1, -0.1, 0.2, 0.2, 0.2, 0]",0.7985,0.80,0.80
20,0.0001,0.067,0.103,"[0.1, 0.1, 0.2, -0.1, 0.1, 0]",0.8219,0.83,0.82
20,1E-05,0.133,0.082,"[0.1, 0.1, 0.3, 0.1, 0.1, 0.1]",0.8165,0.82,0.82
