Max_depth,Max_features,#_estimators,Accuracy,Sensitivity,Specificity,F1-score,MCC
4,auto,5,0.8515935100680864,0.8697995172651594,0.741711229946524,0.9094878052360135,0.518824182811221
4,auto,10,0.8584166304505287,0.8767548396630708,0.7477718360071302,0.9138619983031271,0.535429677157475
4,auto,20,0.8652469940605534,0.882729914782523,0.759536541889483,0.9180826457530814,0.5559423081901573
4,auto,30,0.870360712733594,0.8926653859415792,0.7354723707664884,0.9216869717718614,0.5577822408976354
4,0.3,5,0.8515935100680864,0.8697995172651594,0.741711229946524,0.9094878052360135,0.518824182811221
4,0.3,10,0.8584166304505287,0.8767548396630708,0.7477718360071302,0.9138619983031271,0.535429677157475
4,0.3,20,0.8652469940605534,0.882729914782523,0.759536541889483,0.9180826457530814,0.5559423081901573
4,0.3,30,0.870360712733594,0.8926653859415792,0.7354723707664884,0.9216869717718614,0.5577822408976354
4,0.4,5,0.8609590033318847,0.8777547904044135,0.7591800356506239,0.9151939124404294,0.5487018420994401
4,0.4,10,0.860111545704766,0.8807398650312792,0.7351158645276292,0.9150894662520792,0.5341910219547433
4,0.4,20,0.8686585542517746,0.8896950889118763,0.7411764705882353,0.9203593792676815,0.5598514724877048
4,0.4,30,0.8720701144429958,0.893665336682922,0.7413547237076649,0.9226407704840187,0.5654764727191557
4,0.5,5,0.8490801100970592,0.8588936505590857,0.790017825311943,0.9065395449133858,0.5438511549039022
4,0.5,10,0.8592785745328119,0.8787448894143145,0.7418894830659537,0.9145147294394692,0.534478410110325
4,0.5,20,0.8652180211502245,0.8847002610708832,0.747415329768271,0.9183371187615388,0.5485466225895956
4,0.5,30,0.8652035346950602,0.888670508841929,0.7231729055258467,0.9185687826706253,0.5399673748902566
4,0.6,5,0.8533318846878168,0.8757795182503325,0.7178253119429591,0.9107304659144076,0.5160876536557164
4,0.6,10,0.8610241923801246,0.8827446923796857,0.7299465240641712,0.9155190333426564,0.539811537644074
4,0.6,20,0.8720628712154136,0.8926604600758583,0.7475935828877005,0.9227125415168902,0.5648632840089113
4,0.6,30,0.8669636389975373,0.8896901630461553,0.729590017825312,0.9195540820525582,0.548277872675413
4,0.7,5,0.8541576126321889,0.8797399142899365,0.6996434937611409,0.9117444491498237,0.5059573191851532
4,0.7,10,0.8618354338693321,0.8906704103246146,0.6877005347593583,0.9169188428123978,0.5169479717779988
4,0.7,20,0.8669563957699551,0.8896852371804345,0.729590017825312,0.9196803699358108,0.5453054452865584
4,0.7,30,0.8678038533970738,0.8916703610659573,0.7235294117647059,0.9203288957509704,0.5442006911030447
4,None,5,0.856707228741127,0.8837249396581449,0.693048128342246,0.9134421521894084,0.5092884195264518
4,None,10,0.8541720990873534,0.8787498152800355,0.7058823529411765,0.9116725717883416,0.5087264167871615
4,None,20,0.862690134724033,0.8867100142850106,0.7172905525846702,0.9170224194371377,0.5315723846817667
4,None,30,0.8652397508329711,0.8886902123048126,0.7233511586452763,0.9185101299538898,0.5415045958194546
8,auto,5,0.8874547298276112,0.9344219496576524,0.6033868092691622,0.9342659573885569,0.5448696527996653
8,auto,10,0.8968129798638274,0.9463277671050687,0.5975044563279858,0.940223973673001,0.5653824633654163
8,auto,20,0.8993698392003476,0.9473277178464116,0.6092691622103387,0.9417046899513797,0.5761981196821199
8,auto,30,0.9010719976821672,0.9503029407418354,0.6033868092691622,0.9428194658280132,0.5787429287539247
8,0.3,5,0.8874547298276112,0.9344219496576524,0.6033868092691622,0.9342659573885569,0.5448696527996653
8,0.3,10,0.8968129798638274,0.9463277671050687,0.5975044563279858,0.940223973673001,0.5653824633654163
8,0.3,20,0.8993698392003476,0.9473277178464116,0.6092691622103387,0.9417046899513797,0.5761981196821199
8,0.3,30,0.9010719976821672,0.9503029407418354,0.6033868092691622,0.9428194658280132,0.5787429287539247
8,0.4,5,0.885730841663045,0.9294468252795429,0.6212121212121212,0.9330278357217965,0.5454945484921843
8,0.4,10,0.8951253078371723,0.9453475198266096,0.5914438502673797,0.9393008302392887,0.5555351853623143
8,0.4,20,0.8959365493263798,0.944332791488104,0.6032085561497326,0.9396429991426728,0.5638658050002379
8,0.4,30,0.8942416340721425,0.9423427417368603,0.6035650623885918,0.9386245467841651,0.5578951228580582
8,0.5,5,0.890815587425757,0.932407270577804,0.6392156862745099,0.9360717375149679,0.5628673652473486
8,0.5,10,0.8951035781544256,0.9463326929707896,0.585204991087344,0.9393535346166728,0.5529498707070026
8,0.5,20,0.8967767637259163,0.9473080143835279,0.5910873440285205,0.9402261263659168,0.5644082315320404
8,0.5,30,0.8984934086629002,0.9502980148761144,0.5850267379679144,0.9414104719122832,0.5644223029922071
8,0.6,5,0.8865782992901636,0.9363972218117335,0.585204991087344,0.9340423684047429,0.5297671696363743
8,0.6,10,0.8908373171085036,0.9503029407418354,0.5311942959001783,0.937276786740558,0.520475482071522
8,0.6,20,0.8908445603360857,0.9463326929707896,0.5552584670231729,0.9370309628802779,0.5294737931064716
8,0.6,30,0.8976821671736926,0.9513078173488991,0.5734402852049911,0.9410572269460106,0.5561360921275895
8,0.7,5,0.882290308561495,0.9304221466922812,0.5910873440285205,0.9313588600884067,0.5186750655875639
8,0.7,10,0.8959510357815442,0.943342692478203,0.6094474153297683,0.939605962923583,0.5654585063679962
8,0.7,20,0.8942633637548892,0.9453475198266096,0.585204991087344,0.9388099987148265,0.551317868050749
8,0.7,30,0.9061929595827901,0.9552780651199448,0.6092691622103387,0.9458695046629175,0.5973429059774653
8,None,5,0.8822975517890772,0.9314122457021822,0.5853832442067736,0.9314103029886521,0.5168984492988703
8,None,10,0.8882659713168187,0.9403576178513374,0.5732620320855615,0.93523719148779,0.5293512684151571
8,None,20,0.8942488772997248,0.9493128417319344,0.5611408199643494,0.939057126640926,0.5426970432765158
8,None,30,0.8976676807185282,0.9493177675976553,0.585204991087344,0.9408913394469692,0.5621405142310971
16,auto,5,0.9079023612921918,0.9662184128860647,0.5549019607843138,0.9473799906942325,0.5877302066332868
16,auto,10,0.9053527451832537,0.9612482143736761,0.5672014260249554,0.9457620238881534,0.5800450318435326
16,auto,20,0.905331015500507,0.9642185114033791,0.5490196078431372,0.9458984660461155,0.5765998711624645
16,auto,30,0.905331015500507,0.9652135362790011,0.5429590017825312,0.945957180420096,0.573985016592651
16,0.3,5,0.9079023612921918,0.9662184128860647,0.5549019607843138,0.9473799906942325,0.5877302066332868
16,0.3,10,0.9053527451832537,0.9612482143736761,0.5672014260249554,0.9457620238881534,0.5800450318435326
16,0.3,20,0.905331015500507,0.9642185114033791,0.5490196078431372,0.9458984660461155,0.5765998711624645
16,0.3,30,0.905331015500507,0.9652135362790011,0.5429590017825312,0.945957180420096,0.573985016592651
16,0.4,5,0.8959655222367087,0.9552829909856657,0.5370766488413548,0.9403529268130683,0.5387907628699677
16,0.4,10,0.8993770824279299,0.9542879661100439,0.5672014260249555,0.9421451029268312,0.5598594049504999
16,0.4,20,0.9036216137911053,0.9632234865277572,0.5429590017825312,0.944922011824803,0.5682748902976701
16,0.4,30,0.9044763146458061,0.9632234865277572,0.5490196078431372,0.9453710613107064,0.5741137256548153
16,0.5,5,0.8959800086918731,0.9493276193290971,0.5732620320855615,0.9399126553909355,0.5561007641758785
16,0.5,10,0.8925829349558163,0.9463573222993942,0.5672014260249555,0.9379082540171212,0.5419803518999028
16,0.5,20,0.9044908011009706,0.965218462144722,0.5370766488413548,0.9455054087530432,0.5696260965479891
16,0.5,30,0.9062002028103723,0.965218462144722,0.5491978609625668,0.9464632683744539,0.5772634162304222
16,0.6,5,0.8925394755903231,0.9483178168563124,0.5550802139037433,0.9380668560765666,0.5347163504311345
16,0.6,10,0.8942416340721425,0.9512930397517364,0.5491978609625668,0.9391971728265146,0.5369189602078136
16,0.6,20,0.901926698536868,0.9652135362790011,0.5190730837789661,0.9441564988777396,0.5522526768466923
16,0.6,30,0.901926698536868,0.9652135362790011,0.5190730837789661,0.9441564988777396,0.5522526768466923
16,0.7,5,0.8916847747356221,0.9572681148711886,0.4946524064171123,0.9381843742628022,0.509117480264402
16,0.7,10,0.8934159061277706,0.9533027929658637,0.5310160427807487,0.9388461376848527,0.5291587112236568
16,0.7,20,0.9002172968274663,0.9632284123934781,0.5188948306595366,0.9431057733390306,0.5475834821254006
16,0.7,30,0.9044908011009706,0.965218462144722,0.5370766488413548,0.9455359077467612,0.5674683282546047
16,None,5,0.9010792409097493,0.9582631397468105,0.5550802139037433,0.9432929150092575,0.5612488067638047
16,None,10,0.8942706069824714,0.95131274321462,0.5491978609625668,0.9392007922971545,0.5374740744546603
16,None,20,0.9002317832826308,0.962243239249298,0.5249554367201426,0.9430474133640214,0.5496120346454657
16,None,30,0.9044908011009706,0.9672085118959657,0.5249554367201426,0.9456187171010014,0.5651381415352765
None,auto,5,0.907047660437491,0.9662184128860647,0.5488413547237077,0.9469304877342899,0.5819201345104665
None,auto,10,0.9053527451832537,0.9612482143736761,0.5672014260249554,0.9457620238881534,0.5800450318435326
None,auto,20,0.905331015500507,0.9642185114033791,0.5490196078431372,0.9458984660461155,0.5765998711624645
None,auto,30,0.905331015500507,0.9652135362790011,0.5429590017825312,0.9459635183200031,0.5738740679311799
None,0.3,5,0.907047660437491,0.9662184128860647,0.5488413547237077,0.9469304877342899,0.5819201345104665
None,0.3,10,0.9053527451832537,0.9612482143736761,0.5672014260249554,0.9457620238881534,0.5800450318435326
None,0.3,20,0.905331015500507,0.9642185114033791,0.5490196078431372,0.9458984660461155,0.5765998711624645
None,0.3,30,0.905331015500507,0.9652135362790011,0.5429590017825312,0.9459635183200031,0.5738740679311799
None,0.4,5,0.8951035781544256,0.9552780651199448,0.5310160427807487,0.9398806865631335,0.5343127843148322
None,0.4,10,0.8976676807185282,0.9513028914831781,0.5732620320855615,0.941055356409732,0.555822007150751
None,0.4,20,0.9027669129364044,0.9622284616521354,0.5429590017825312,0.944401165695525,0.5655666010897761
None,0.4,30,0.9044763146458061,0.9632234865277572,0.5490196078431372,0.9453710613107064,0.5741137256548153
None,0.5,5,0.8951253078371723,0.9483325944534752,0.5732620320855615,0.9393923489882762,0.5533277158198707
None,0.5,10,0.8925829349558163,0.9463573222993942,0.5672014260249555,0.9378984736222025,0.5425913368499452
None,0.5,20,0.9044908011009706,0.965218462144722,0.5370766488413548,0.9455054087530432,0.5696260965479891
None,0.5,30,0.9044908011009706,0.9632284123934781,0.5491978609625668,0.9454273725226918,0.5715053698240402
None,0.6,5,0.893394176445024,0.9503078666075563,0.5490196078431372,0.9386291413996973,0.5360636525660859
None,0.6,10,0.8933869332174417,0.9502980148761144,0.5491978609625668,0.9386712663786052,0.5344130678280592
None,0.6,20,0.9036361002462697,0.9672035860302448,0.5190730837789661,0.9451847150422541,0.5584939554631856
None,0.6,30,0.901926698536868,0.9652135362790011,0.5190730837789661,0.9441564988777396,0.5522526768466923
None,0.7,5,0.8925394755903231,0.9582631397468105,0.4946524064171123,0.9386991959558367,0.5122494520014866
None,0.7,10,0.8942706069824714,0.9533027929658637,0.5370766488413548,0.9393179626451265,0.533574301673721
None,0.7,20,0.9002172968274663,0.9632284123934781,0.5188948306595366,0.9431057733390306,0.5475834821254006
None,0.7,30,0.9036361002462697,0.965218462144722,0.5310160427807487,0.9450685955147432,0.5629155840610263
None,None,5,0.9019339417644502,0.9592581646224324,0.5550802139037433,0.9438057661035385,0.5644500391881343
None,None,10,0.8942706069824714,0.95131274321462,0.5491978609625668,0.9392007922971545,0.5374740744546603
None,None,20,0.8993770824279299,0.9612482143736761,0.5249554367201426,0.9425343334391768,0.5464783643575097
None,None,30,0.9036361002462697,0.9662134870203438,0.5249554367201426,0.9451056371761568,0.5620044712473207
