Kernel,C,Gamma,Threshold,Accuracy,Sensitivity,Specificity,F1-score,MCC
rbf,1,0.1,0.7,0.844719687092568,0.962228461652135,0.132620320855615,0.914043321288205,0.155694041543953
rbf,1,0.01,0.5,0.804613935969868,0.800192108763115,0.831729055258467,0.875393724535555,0.486252820465331
rbf,1,0.001,0.3,0.81576126321889,0.815132259494606,0.819964349376114,0.883020431472387,0.501164566443869
rbf,1,0.0001,0.1,0.832782848037085,0.834003251071376,0.825490196078431,0.895178441510614,0.526718505232402
rbf,1,1E-05,0.1,0.818281906417499,0.817102605782966,0.825668449197861,0.885047798645595,0.504559572738022
rbf,5,0.1,0.7,0.845574387947269,0.963223486527757,0.132620320855615,0.914542347311975,0.162117614508856
rbf,5,0.01,0.6,0.796914385049978,0.796216935126348,0.801069518716577,0.870579231119293,0.460104944159286
rbf,5,0.001,0.4,0.813211647109952,0.814132308753263,0.808377896613191,0.881368172887868,0.492105471511082
rbf,5,0.0001,0.1,0.835368680283935,0.836993251563962,0.825846702317291,0.89686569966965,0.53197563811912
rbf,5,1E-05,0.1,0.821715196291467,0.821097482882617,0.825490196078431,0.887448947460796,0.509580601873358
rbf,10,0.1,0.7,0.845574387947269,0.963223486527757,0.132620320855615,0.914542347311975,0.162117614508856
rbf,10,0.01,0.6,0.8011806460959,0.801182207773016,0.801247771836007,0.87363902571653,0.466123962143538
rbf,10,0.001,0.5,0.796139359698682,0.796236638589232,0.796256684491979,0.869868943685342,0.458125421216507
rbf,10,0.0001,0.2,0.82346081413878,0.823097384365302,0.82602495543672,0.88859340215374,0.513190991260198
rbf,10,1E-05,0.1,0.82853831667391,0.82904783015615,0.825490196078431,0.892144225544887,0.520696288198222
rbf,15,0.1,0.7,0.845574387947269,0.963223486527757,0.132620320855615,0.914542347311975,0.162117614508856
rbf,15,0.01,0.6,0.803737505432421,0.804162356534161,0.801247771836007,0.875450615768492,0.469813889241771
rbf,15,0.001,0.6,0.789316239316239,0.789281316191321,0.790196078431373,0.865226653080143,0.4448601502952
rbf,15,0.0001,0.2,0.825177459075764,0.825092359982267,0.82602495543672,0.889519336311051,0.51874212923077
rbf,15,1E-05,0.1,0.831109662465595,0.832037830648737,0.825490196078431,0.893884816202005,0.525166240906064
rbf,20,0.1,0.7,0.845574387947269,0.963223486527757,0.132620320855615,0.914542347311975,0.162117614508856
rbf,20,0.01,0.6,0.802890047805302,0.802177232648638,0.807308377896613,0.874712516929594,0.471642408467877
rbf,20,0.001,0.6,0.790178183398522,0.792271316683907,0.77807486631016,0.866153352402301,0.439827697290514
rbf,20,0.0001,0.2,0.827741561639867,0.827087335599231,0.831907308377897,0.890995652209211,0.527812880619634
rbf,20,1E-05,0.1,0.830262204838476,0.832037830648737,0.819607843137255,0.893422811176997,0.520994084527904
