#_estimators,Max_depth,Max_features,Accuracy,Sensitivity,Specificity,BAccuracy,BSensitivity,BSpecificity
5,4,auto,0.6037,0.70,0.45,0.6313,0.70,0.50
5,4,0.3,0.6186,0.73,0.45,0.6514,0.74,0.49
5,4,0.4,0.6130,0.71,0.47,0.6321,0.71,0.48
5,4,0.5,0.6055,0.70,0.45,0.6386,0.72,0.49
5,4,0.6,0.6092,0.71,0.44,0.6402,0.73,0.47
5,4,0.7,0.6037,0.70,0.45,0.6450,0.73,0.49
5,4,None,0.6012,0.71,0.43,0.6361,0.72,0.48
5,8,auto,0.6031,0.70,0.44,0.6112,0.68,0.49
5,8,0.3,0.6149,0.72,0.45,0.6088,0.70,0.45
5,8,0.4,0.6000,0.72,0.41,0.6305,0.72,0.47
5,8,0.5,0.5944,0.71,0.42,0.6104,0.69,0.46
5,8,0.6,0.6105,0.72,0.43,0.6064,0.68,0.47
5,8,0.7,0.5864,0.70,0.41,0.6056,0.67,0.48
5,8,None,0.6037,0.72,0.42,0.6048,0.69,0.46
5,16,auto,0.5931,0.73,0.38,0.6161,0.71,0.45
5,16,0.3,0.6111,0.74,0.40,0.6225,0.73,0.43
5,16,0.4,0.6148,0.73,0.43,0.6080,0.70,0.43
5,16,0.5,0.5919,0.73,0.37,0.6096,0.70,0.45
5,16,0.6,0.6173,0.75,0.41,0.6112,0.69,0.46
5,16,0.7,0.6049,0.71,0.44,0.6145,0.71,0.44
5,16,None,0.5901,0.72,0.38,0.6064,0.71,0.41
5,None,auto,0.5907,0.72,0.39,0.5968,0.68,0.45
5,None,0.3,0.6130,0.74,0.42,0.6217,0.71,0.45
5,None,0.4,0.6180,0.73,0.44,0.6120,0.70,0.45
5,None,0.5,0.6024,0.73,0.40,0.6153,0.71,0.44
5,None,0.6,0.6204,0.75,0.41,0.6137,0.70,0.45
5,None,0.7,0.6155,0.74,0.41,0.6289,0.72,0.47
5,None,None,0.5950,0.73,0.39,0.6161,0.72,0.43
10,4,auto,0.6204,0.73,0.44,0.6554,0.75,0.48
10,4,0.3,0.6124,0.72,0.44,0.6546,0.74,0.50
10,4,0.4,0.6210,0.70,0.49,0.6434,0.72,0.50
10,4,0.5,0.6173,0.71,0.47,0.6378,0.71,0.50
10,4,0.6,0.6285,0.72,0.48,0.6394,0.72,0.49
10,4,0.7,0.6148,0.70,0.48,0.6337,0.70,0.51
10,4,None,0.6080,0.69,0.48,0.6361,0.72,0.49
10,8,auto,0.6105,0.73,0.42,0.6466,0.74,0.48
10,8,0.3,0.6161,0.74,0.42,0.6426,0.73,0.49
10,8,0.4,0.6198,0.76,0.40,0.6345,0.73,0.46
10,8,0.5,0.6254,0.75,0.42,0.6241,0.72,0.45
10,8,0.6,0.6204,0.74,0.42,0.6273,0.72,0.46
10,8,0.7,0.6099,0.73,0.42,0.6249,0.72,0.45
10,8,None,0.6130,0.74,0.41,0.6281,0.72,0.47
10,16,auto,0.6086,0.75,0.39,0.6305,0.72,0.47
10,16,0.3,0.6340,0.76,0.44,0.6329,0.73,0.46
10,16,0.4,0.6105,0.73,0.42,0.6177,0.71,0.45
10,16,0.5,0.6123,0.74,0.41,0.6137,0.69,0.47
10,16,0.6,0.6198,0.74,0.43,0.6265,0.71,0.48
10,16,0.7,0.6124,0.72,0.45,0.6225,0.72,0.45
10,16,None,0.5938,0.71,0.41,0.6185,0.69,0.49
10,None,auto,0.5956,0.70,0.43,0.6112,0.66,0.51
10,None,0.3,0.6117,0.70,0.47,0.6281,0.68,0.53
10,None,0.4,0.6117,0.70,0.47,0.6096,0.66,0.51
10,None,0.5,0.6062,0.70,0.45,0.6112,0.68,0.49
10,None,0.6,0.6167,0.70,0.48,0.6032,0.67,0.48
10,None,0.7,0.6037,0.69,0.46,0.6088,0.67,0.50
10,None,None,0.5981,0.70,0.43,0.6185,0.67,0.52
20,4,auto,0.6253,0.73,0.45,0.6643,0.77,0.48
20,4,0.3,0.6173,0.73,0.44,0.6715,0.76,0.51
20,4,0.4,0.6222,0.72,0.47,0.6610,0.76,0.49
20,4,0.5,0.6223,0.71,0.48,0.6570,0.74,0.50
20,4,0.6,0.6322,0.73,0.48,0.6386,0.73,0.47
20,4,0.7,0.6291,0.72,0.48,0.6410,0.72,0.49
20,4,None,0.6179,0.71,0.47,0.6305,0.72,0.46
20,8,auto,0.6303,0.76,0.42,0.6538,0.76,0.46
20,8,0.3,0.6390,0.76,0.44,0.6506,0.74,0.49
20,8,0.4,0.6247,0.77,0.40,0.6514,0.76,0.45
20,8,0.5,0.6272,0.76,0.41,0.6369,0.74,0.45
20,8,0.6,0.6241,0.75,0.43,0.6418,0.74,0.46
20,8,0.7,0.6216,0.74,0.43,0.6305,0.74,0.44
20,8,None,0.6216,0.75,0.42,0.6265,0.72,0.45
20,16,auto,0.6229,0.81,0.32,0.6610,0.80,0.40
20,16,0.3,0.6489,0.82,0.38,0.6546,0.79,0.40
20,16,0.4,0.6291,0.81,0.35,0.6490,0.78,0.42
20,16,0.5,0.6334,0.80,0.37,0.6474,0.76,0.43
20,16,0.6,0.6248,0.79,0.36,0.6353,0.75,0.42
20,16,0.7,0.6254,0.78,0.37,0.6490,0.77,0.43
20,16,None,0.6291,0.79,0.37,0.6305,0.75,0.42
20,None,auto,0.6229,0.78,0.38,0.6434,0.76,0.43
20,None,0.3,0.6359,0.79,0.40,0.6442,0.76,0.43
20,None,0.4,0.6179,0.78,0.36,0.6466,0.75,0.46
20,None,0.5,0.6235,0.78,0.38,0.6466,0.75,0.45
20,None,0.6,0.6229,0.76,0.40,0.6353,0.74,0.45
20,None,0.7,0.6328,0.79,0.39,0.6386,0.75,0.44
20,None,None,0.6346,0.80,0.38,0.6394,0.74,0.46
30,4,auto,0.6290,0.75,0.44,0.6594,0.77,0.46
30,4,0.3,0.6247,0.74,0.44,0.6771,0.78,0.49
30,4,0.4,0.6272,0.73,0.46,0.6514,0.75,0.47
30,4,0.5,0.6346,0.73,0.48,0.6594,0.75,0.49
30,4,0.6,0.6340,0.74,0.46,0.6474,0.74,0.48
30,4,0.7,0.6328,0.73,0.47,0.6474,0.73,0.49
30,4,None,0.6241,0.73,0.45,0.6482,0.74,0.48
30,8,auto,0.6278,0.77,0.40,0.6562,0.77,0.46
30,8,0.3,0.6402,0.77,0.43,0.6458,0.74,0.48
30,8,0.4,0.6285,0.78,0.39,0.6635,0.78,0.45
30,8,0.5,0.6415,0.77,0.44,0.6490,0.75,0.46
30,8,0.6,0.6353,0.77,0.42,0.6442,0.74,0.47
30,8,0.7,0.6303,0.76,0.42,0.6313,0.73,0.45
30,8,None,0.6303,0.77,0.41,0.6394,0.74,0.46
30,16,auto,0.6303,0.83,0.31,0.6594,0.81,0.38
30,16,0.3,0.6340,0.82,0.33,0.6731,0.82,0.40
30,16,0.4,0.6377,0.82,0.36,0.6586,0.80,0.41
30,16,0.5,0.6346,0.82,0.34,0.6659,0.79,0.43
30,16,0.6,0.6346,0.81,0.36,0.6402,0.78,0.39
30,16,0.7,0.6334,0.81,0.36,0.6498,0.79,0.39
30,16,None,0.6353,0.82,0.35,0.6506,0.78,0.42
30,None,auto,0.6309,0.81,0.34,0.6635,0.79,0.43
30,None,0.3,0.6402,0.82,0.36,0.6498,0.79,0.40
30,None,0.4,0.6285,0.80,0.36,0.6635,0.79,0.44
30,None,0.5,0.6383,0.80,0.37,0.6691,0.78,0.46
30,None,0.6,0.6340,0.79,0.38,0.6410,0.76,0.42
30,None,0.7,0.6390,0.80,0.39,0.6426,0.79,0.38
30,None,None,0.6328,0.81,0.35,0.6418,0.76,0.43
